DATE_,ADJ CLOSE_7203.T,CLOSE_7203.T,HIGH_7203.T,LOW_7203.T,OPEN_7203.T,VOLUME_7203.T
2025-03-03,2703.9853515625,2795.0,2802.0,2723.5,2744.5,24143500
2025-03-04,2663.836669921875,2753.5,2776.5,2725.0,2745.0,25099600
2025-03-05,2756.710693359375,2849.5,2875.0,2765.0,2775.0,36898700
2025-03-06,2730.58984375,2822.5,2886.0,2817.5,2860.0,24713900
2025-03-07,2711.724853515625,2803.0,2803.0,2749.5,2749.5,25194200
2025-03-10,2736.878173828125,2829.0,2842.0,2793.5,2813.0,17383800
2025-03-11,2664.80419921875,2754.5,2779.5,2713.0,2770.5,32542100
2025-03-12,2671.576416015625,2761.5,2766.0,2730.0,2750.0,23961100
2025-03-13,2630.460205078125,2719.0,2764.0,2719.0,2760.0,26657300
2025-03-14,2657.064697265625,2746.5,2783.5,2722.5,2722.5,32732200
2025-03-17,2670.60888671875,2760.5,2792.0,2750.0,2750.0,20673100
2025-03-18,2746.552490234375,2839.0,2857.0,2798.0,2799.0,29267300
2025-03-19,2797.826904296875,2892.0,2927.0,2864.0,2864.0,25594700
2025-03-21,2751.87353515625,2844.5,2890.0,2838.0,2851.0,29746000
2025-03-24,2769.771240234375,2863.0,2889.5,2849.5,2874.0,17186800
2025-03-25,2788.635986328125,2882.5,2961.0,2870.5,2916.0,24978200
2025-03-26,2793.473388671875,2887.5,2899.5,2845.5,2898.5,25294300
2025-03-27,2736.39453125,2828.5,2828.5,2771.0,2780.0,43353000
2025-03-28,2659.576416015625,2700.5,2728.0,2687.0,2725.0,44617200
2025-03-31,2576.35693359375,2616.0,2647.0,2583.5,2630.5,43466800
2025-04-01,2590.63720703125,2630.5,2656.5,2616.5,2649.0,26218100
2025-04-02,2615.750732421875,2656.0,2661.0,2594.5,2630.5,27800600
2025-04-03,2480.33447265625,2518.5,2582.5,2456.5,2500.5,63506800
2025-04-04,2371.0166015625,2407.5,2453.0,2337.5,2440.0,61167400
2025-04-07,2232.1533203125,2266.5,2355.0,2226.5,2250.0,72609600
2025-04-08,2391.6982421875,2428.5,2466.0,2351.0,2357.5,52545600
2025-04-09,2329.653076171875,2365.5,2419.0,2330.0,2378.5,45721300
2025-04-10,2504.463134765625,2543.0,2621.0,2508.5,2615.5,45889700
2025-04-11,2383.3271484375,2420.0,2441.0,2350.5,2400.0,46954000
2025-04-14,2373.478759765625,2410.0,2482.0,2409.0,2444.5,26268100
2025-04-15,2461.1298828125,2499.0,2546.0,2499.0,2526.0,29890700
2025-04-16,2461.1298828125,2499.0,2520.0,2461.0,2497.0,24370600
2025-04-17,2460.637451171875,2498.5,2520.5,2475.0,2498.5,23310300
2025-04-18,2505.447998046875,2544.0,2544.0,2496.5,2506.0,16944800
2025-04-21,2433.061767578125,2470.5,2538.5,2459.0,2530.5,22040800
2025-04-22,2421.736083984375,2459.0,2485.0,2440.0,2458.5,19734000
2025-04-23,2542.872314453125,2582.0,2590.0,2535.0,2561.0,34123500
2025-04-24,2617.22802734375,2657.5,2718.0,2619.0,2627.0,41886200
2025-04-25,2649.235595703125,2690.0,2712.0,2671.5,2699.5,29523200
2025-04-28,2744.273193359375,2786.5,2841.0,2719.0,2724.5,54204400
2025-04-30,2687.64453125,2729.0,2801.0,2729.0,2795.5,41601700
2025-05-01,2709.311279296875,2751.0,2752.5,2708.5,2727.0,19049400
2025-05-02,2737.87158203125,2780.0,2822.0,2773.0,2798.0,36047900
2025-05-07,2664.9931640625,2706.0,2761.0,2702.0,2760.5,29981600
2025-05-08,2631.015869140625,2671.5,2740.0,2632.5,2706.0,47881900
2025-05-09,2678.28857421875,2719.5,2756.5,2685.5,2750.0,37497400
2025-05-12,2711.773193359375,2753.5,2758.0,2718.5,2726.0,20208500
2025-05-13,2806.81103515625,2850.0,2879.5,2846.0,2853.5,35248400
2025-05-14,2707.833984375,2749.5,2832.5,2731.0,2830.0,24974000
2025-05-15,2616.735595703125,2657.0,2718.0,2647.0,2709.0,31659600
2025-05-16,2602.455322265625,2642.5,2652.0,2598.0,2642.0,23825700
2025-05-19,2624.614501953125,2665.0,2695.0,2621.5,2642.5,19721400
2025-05-20,2632.000732421875,2672.5,2727.5,2649.5,2724.5,25009100
2025-05-21,2622.15234375,2662.5,2700.0,2662.0,2700.0,20330200
2025-05-22,2580.29638671875,2620.0,2634.5,2612.0,2633.0,19413100
2025-05-23,2583.743408203125,2623.5,2649.5,2620.5,2647.0,15124400
2025-05-26,2581.773681640625,2621.5,2633.0,2607.5,2624.0,14531700
2025-05-27,2599.9931640625,2640.0,2649.5,2604.0,2609.0,14424300
2025-05-28,2591.6220703125,2631.5,2680.5,2631.5,2680.0,19119300
2025-05-29,2693.061279296875,2734.5,2742.0,2697.0,2707.0,30752500
2025-05-30,2727.038330078125,2769.0,2769.0,2662.0,2668.5,57613100
2025-06-02,2650.220458984375,2691.0,2742.5,2686.5,2737.5,23342800
2025-06-03,2634.462890625,2675.0,2684.0,2655.0,2681.5,17203100
2025-06-04,2683.212646484375,2724.5,2735.0,2700.0,2730.0,25102600
2025-06-05,2610.334228515625,2650.5,2694.5,2640.0,2685.0,24997400
2025-06-06,2611.8115234375,2652.0,2664.0,2630.0,2630.5,18571200
2025-06-09,2599.9931640625,2640.0,2672.0,2637.0,2670.0,13584200
2025-06-10,2617.22802734375,2657.5,2663.5,2640.0,2653.0,19556800
2025-06-11,2615.750732421875,2656.0,2678.0,2652.0,2670.0,16367500
2025-06-12,2576.849365234375,2616.5,2648.0,2608.0,2645.0,22784400
2025-06-13,2516.28125,2555.0,2589.0,2539.0,2586.0,36054800
2025-06-16,2515.7890625,2554.5,2586.0,2554.0,2580.5,19281900
2025-06-17,2499.5390625,2538.0,2551.0,2530.5,2535.0,18263000
2025-06-18,2530.069091796875,2569.0,2575.0,2520.5,2525.0,18221700
2025-06-19,2487.228515625,2525.5,2564.5,2522.0,2556.0,16444700
2025-06-20,2464.576904296875,2502.5,2541.5,2502.5,2511.0,80814500
2025-06-23,2455.71337890625,2493.5,2500.5,2464.0,2500.0,18469900
2025-06-24,2452.266357421875,2490.0,2535.5,2475.0,2528.5,20203700
2025-06-25,2423.21337890625,2460.5,2506.0,2445.0,2504.0,22587200
2025-06-26,2419.27392578125,2456.5,2462.0,2434.0,2441.0,27545800
2025-06-27,2488.70556640625,2527.0,2551.5,2486.5,2499.0,33017800
2025-06-30,2455.220947265625,2493.0,2538.0,2490.0,2535.0,29284500
2025-07-01,2415.8271484375,2453.0,2493.0,2447.5,2490.0,24298200
2025-07-02,2428.1376953125,2465.5,2480.5,2443.0,2450.0,24281200
2025-07-03,2473.440673828125,2511.5,2540.0,2448.5,2465.5,34098600
2025-07-04,2446.849609375,2484.5,2529.5,2479.0,2524.0,19876900
2025-07-07,2416.319580078125,2453.5,2502.0,2442.0,2500.0,20788700
2025-07-08,2427.645263671875,2465.0,2486.0,2451.5,2456.0,32336400
2025-07-09,2449.80419921875,2487.5,2533.5,2478.5,2499.0,31320400
2025-07-10,2436.016357421875,2473.5,2482.5,2463.0,2479.0,26257000
2025-07-11,2469.99365234375,2508.0,2524.5,2477.0,2501.5,25922800
