ticker,status,error
NVDA,ERROR,train_ticker() takes 1 positional argument but 2 w
AAPL,ERROR,train_ticker() takes 1 positional argument but 2 w
MSFT,ERROR,train_ticker() takes 1 positional argument but 2 w
GOOGL,ERROR,train_ticker() takes 1 positional argument but 2 w
AMZN,ERROR,train_ticker() takes 1 positional argument but 2 w
META,ERROR,train_ticker() takes 1 positional argument but 2 w
TSLA,ERROR,train_ticker() takes 1 positional argument but 2 w
AMD,ERROR,train_ticker() takes 1 positional argument but 2 w
NFLX,ERROR,train_ticker() takes 1 positional argument but 2 w
QQQ,ERROR,train_ticker() takes 1 positional argument but 2 w
